Difference,Predicted,Test Data
216,2116,1899
447,2147,1700
327,1927,1599
702,2502,1799
374,1374,1000
-605,894,1500
104,865,760
83,640,557
118,554,435
-348,3251,3600
-1706,5293,7000
-314,575,890
-76,578,655
-19,697,717
-7,823,830
1096,2096,1000
200,3500,3300
31,688,656
-6,1093,1099
109,828,718
50,760,710
-170,1129,1300
1755,2384,629
54,813,758
-18,1481,1500
148,1148,1000
-196,1903,2099
0,698,697
760,1860,1099
-1299,1200,2499
34,1234,1199
2136,4136,2000
780,1880,1099
-593,1406,2000
-672,2027,2700
-38,940,978
27,648,620
-78,660,738
-934,2765,3700
107,1107,1000
716,1816,1099
-66,933,1000
1859,2548,688
40,1340,1300
2910,14910,12000
76,772,695
-845,1154,2000
157,1023,866
-3728,9071,12800
-302,3197,3500
556,1499,943
-37,808,846
-613,1586,2199
95,874,778
-87,1212,1300
382,1782,1400
-8170,1329,9499
-28,606,634
155,1074,919
628,8728,8100
95,1795,1700
540,8640,8100
-22,2477,2499
228,2828,2599
-293,1206,1500
246,1646,1400
-11371,2928,14299
-3000,5099,8100
45,2545,2499
586,999,413
-132,843,975
125,880,755
26,715,688
124,1524,1400
-265,834,1099
219,1319,1099
-2614,11985,14600
-60,560,620
-13,932,946
-52,1047,1099
-120,554,674
-98,789,887
234,1534,1300
-86,730,817
282,910,627
19,849,829
-828,1371,2199
89,1889,1799
-90,909,1000
34,1234,1199
-77,795,872
161,1161,1000
-1315,4584,5900
204,3604,3399
-168,719,887
-50,809,860
-448,2251,2700
32,1232,1199
66,475,409
222,3522,3300
-178,1521,1700
-150,2249,2399
-23,527,550
-84,1215,1300
389,1377,988
-166,657,824
23,1223,1199
99,4199,4100
-1904,6295,8200
45,1145,1099
64,794,730
-89,2410,2499
-402,554,957
-54,1145,1199
-55,1644,1700
1937,2745,807
263,1021,757
-438,3861,4300
547,1182,634
-11,3988,4000
-555,2344,2900
-251,848,1099
-114,552,667
97,996,898
-5665,934,6600
75,997,921
-447,1352,1799
-14,1085,1099
363,1563,1199
-411,2488,2900
-34,1165,1199
-3921,678,4599
-23,1076,1099
-116,2383,2499
235,1235,1000
114,1414,1300
-12,931,943
39,977,938
96,1896,1799
-107,816,923
-219,2380,2599
-2320,1379,3700
3447,4403,955
141,1083,942
-101,716,818
2217,3817,1599
-22,900,922
76,1276,1199
-156,663,820
72,884,812
135,679,544
-41,785,826
1445,1822,377
6093,16993,10900
82,1182,1099
-540,1459,2000
-69,2830,2900
2968,4068,1099
-73,1126,1199
-629,770,1400
-63,780,844
332,1532,1199
69,3369,3300
37,3737,3700
-6,414,421
47,4547,4499
-115,1484,1599
44,801,757
-224,1175,1400
-1323,13676,15000
727,1394,667
16,1516,1500
64,1364,1300
-300,1699,2000
26,1226,1199
-1378,6821,8200
193,1693,1500
-4966,5933,10900
312,2212,1899
-48,3551,3600
257,1657,1400
-103,870,974
-3940,3659,7600
-406,1693,2099
-18031,1368,19400
-52,1247,1300
24,1324,1300
-169,1930,2099
-1277,1122,2399
-5,2494,2499
-96,1403,1500
-3119,1680,4799
904,2204,1300
22,205,182
66,1266,1199
226,1205,978
-353,1546,1899
-301,1298,1599
1293,2493,1199
-612,2887,3500
139,1239,1099
689,804,115
-19,980,1000
-6,721,728
-103,996,1099
-190,731,921
-253,6546,6799
96,1296,1199
385,7485,7100
278,2578,2300
58,1058,1000
-2389,6910,9300
-307,3292,3600
-19,1080,1099
-457,2142,2599
95,1095,1000
-12,1087,1099
-149,950,1099
-2254,3845,6100
-175,1824,2000
527,1627,1099
-176,1923,2099
-125,1574,1700
273,4873,4599
-39,2060,2099
-556,6343,6899
-1419,680,2099
6959,8259,1300
-230,2469,2700
-139,960,1099
-89,2310,2399
60,1060,1000
-1602,6897,8500
234,2434,2199
-325,1074,1400
22,1022,1000
-38,1161,1199
-1485,5414,6899
21,949,927
4,1104,1099
-268,1331,1599
279,2879,2599
-22,951,974
178,2078,1899
240,1440,1199
46,912,866
1631,3731,2099
-90,1609,1700
628,1628,1000
-20927,1172,22100
-112,887,1000
-34,1065,1099
414,1331,916
-305,794,1099
928,3028,2099
1,1001,1000
-402,3197,3600
-26,690,717
-28,1071,1099
749,12349,11599
4920,12020,7100
-324,1775,2099
-14,875,890
-31,2168,2199
-369,1630,2000
-409,990,1400
283,3383,3099
-15,589,605
220,1620,1400
124,725,601
256,964,707
116,1316,1199
-110,889,1000
59,890,830
-541,1358,1899
46,1046,1000
16,405,389
-217,1082,1300
-523,1076,1599
-191,1208,1400
-424,2275,2700
-33,1066,1099
-79,473,553
46,1031,984
1260,2176,916
74,693,619
205,904,699
-281,818,1099
214,1514,1300
-2497,3802,6300
-942,2757,3700
-29,743,773
-175,1524,1700
-384,2415,2800
-13460,1539,15000
-334,1065,1400
108,1208,1099
-570,4929,5499
-35,1164,1199
118,941,823
1067,1524,457
1376,2010,634
1278,7178,5900
-154,734,889
-252,947,1199
141,575,434
123,1223,1099
1890,2884,993
-199,748,947
-261,729,990
90,968,878
-2912,7087,10000
-1457,3742,5199
-357,582,940
-58,1041,1099
101,375,274
700,1800,1099
-118,1081,1199
-281,818,1099
1499,14199,12700
-492,2007,2499
-41,608,650
98,725,626
-328,369,697
-223,457,680
-455,1944,2399
229,1729,1500
552,1267,715
164,6164,5999
98,3298,3199
-3143,10156,13300
39,1339,1300
-4,3995,4000
61,690,629
1441,4341,2900
4425,13525,9099
-160,2639,2800
746,5446,4700
891,2191,1300
406,1390,983
156,1456,1300
-138,961,1099
214,1184,969
-2421,2578,4999
-1022,3677,4700
-8214,1185,9400
83,1183,1099
157,1457,1300
46,1946,1899
134,1078,943
3551,15351,11799
-32,1267,1300
-1498,901,2399
225,1225,1000
-10,1889,1899
25,1625,1599
-1387,2512,3899
-161,1338,1500
878,2778,1899
79,543,463
218,718,499
799,4099,3300
-3696,603,4300
-474,2325,2800
370,1127,757
57,840,783
253,1353,1099
-1791,6708,8500
561,3061,2499
273,1973,1700
602,2802,2199
-866,2933,3799
-450,11149,11599
58,1044,985
-94,1105,1199
62,3062,3000
22,697,674
-1353,2746,4100
172,1372,1199
115,797,681
-3,1196,1199
-41,1058,1099
34,680,646
508,1196,687
281,1044,762
-11832,1267,13100
4198,13698,9499
194,1057,863
-2723,3076,5800
-26,750,776
-60,674,734
-263,1036,1300
-2,790,792
69,715,646
1500,5500,4000
-88,1411,1500
142,780,637
33,540,507
242,1342,1099
88,1088,1000
-123,1276,1400
-22,705,728
249,1173,923
634,2134,1500
255,1255,1000
39,510,471
1361,18861,17500
4,1004,1000
-7320,3079,10400
-213,2686,2900
573,1292,718
-87,1712,1799
80,834,753
-69,1330,1400
-45,1854,1899
227,1527,1300
3269,4369,1099
878,3378,2499
47,1447,1400
-58,646,705
-816,1283,2099
111,939,828
8072,11272,3199
61,775,714
-1,888,890
-4730,569,5300
-450,1849,2300
-43,1256,1300
-85,1114,1199
657,3257,2599
-103,1196,1300
-94,836,931
-1016,2183,3199
-602,497,1099
-378,1421,1799
-7,904,911
-3169,830,4000
-2252,1447,3700
199,1071,871
18,273,254
-21,978,1000
-463,1536,2000
-48,794,843
-278,3721,4000
548,3648,3099
-7894,10705,18599
197,4797,4599
61,1061,1000
66,1266,1199
435,8235,7799
-276,1823,2099
-388,1111,1500
81,1181,1099
119,853,734
-51,853,905
15,531,516
65,1065,1000
-150,849,1000
-6,751,757
426,1526,1099
-175,1024,1199
98,851,753
73,1069,996
53,1553,1500
958,4258,3300
409,1393,983
-170,731,901
972,1963,990
133,885,751
95,673,578
-1097,902,2000
-12,489,501
-28,967,996
72,483,411
-868,3331,4199
-65,1434,1500
336,860,523
-44,1055,1099
162,1162,1000
-390,1709,2099
397,1697,1300
1118,1897,778
-2174,2125,4300
312,1109,796
-71,1328,1400
-492,1507,2000
-175,697,872
-103,794,898
-232,596,828
-343,656,1000
131,1331,1199
-122,538,660
-524,5475,5999
184,2384,2199
105,1505,1400
-2776,1123,3899
2111,2818,707
-296,903,1199
-38,1561,1599
-1671,14328,16000
739,3439,2700
-1639,1060,2700
-117,1782,1899
437,2037,1599
-163,1736,1899
-289,710,1000
777,1485,707
1375,2000,625
20,851,830
-182,1317,1500
146,1346,1199
-3835,864,4700
841,1594,753
-886,4413,5300
-202,1097,1300
-103,5296,5400
-43,1056,1099
-363,2436,2800
-384,915,1300
-87,1012,1099
74,800,726
182,1075,892
-164,1735,1899
-17,642,660
296,3296,3000
208,693,484
-2389,4310,6700
-66,605,672
219,1045,826
-30,1969,2000
-199,1900,2099
358,4758,4400
0,1800,1799
-776,923,1700
35,1235,1199
5,498,493
-981,5418,6399
-590,6709,7300
-558,841,1400
59,803,743
-37,962,1000
47,632,585
1111,1975,863
-126,1273,1400
249,2449,2199
142,557,414
-149,679,828
-1141,2358,3500
-10,655,665
832,6632,5800
154,1254,1099
-280,1419,1700
1057,1933,875
-410,1689,2099
-222,1077,1300
-222,2177,2399
382,1322,940
31,892,861
-3,377,381
589,2289,1700
31,504,473
851,1381,530
152,1066,913
4830,5545,715
-1336,1463,2800
-192,1307,1500
-16,637,653
-100,662,762
-155,2444,2599
193,1103,909
-133,1266,1400
3109,4058,949
70,872,801
727,1472,744
-473,3826,4300
-184,1015,1199
-510,2189,2700
-628,3871,4499
67,847,779
184,1017,832
-1431,1668,3099
47,2247,2199
218,1080,862
260,642,382
-9,724,734
33,443,409
369,3469,3099
-1678,2121,3799
-108,1191,1300
-25,448,474
100,919,819
-370,829,1199
-972,2827,3799
1227,5727,4499
104,1087,982
405,1505,1099
81,739,658
-90,631,721
-978,6521,7500
-1307,1192,2499
-54,666,720
127,2227,2099
-780,6919,7699
-269,1130,1400
6,479,473
-258,3441,3700
-5,937,943
834,2934,2099
-12,809,822
1274,2274,1000
104,660,556
872,1379,507
22,720,697
174,1274,1099
116,1114,997
161,1155,993
215,1615,1400
6,2306,2300
-276,923,1199
160,6760,6600
-3874,7425,11300
1092,8992,7899
-27,2272,2300
-3290,7709,11000
217,2617,2399
-53,911,965
300,1085,785
-444,3255,3700
14,988,974
-5595,10804,16400
105,694,588
-470,5629,6100
358,8258,7899
47,357,309
-4283,1216,5499
-61,1038,1099
1480,2405,924
-96,2603,2700
39,795,755
-159,940,1099
20,715,694
-258,1041,1300
104,2904,2800
66,852,785
-552,1847,2399
-69,1830,1899
-144,2255,2399
-1882,2617,4499
-112,3487,3600
4706,5706,1000
-29,839,868
-1359,640,2000
-1309,1390,2700
0,1999,2000
9200,10700,1500
-1339,9760,11100
-1617,782,2399
104,623,518
15,808,792
212,1912,1700
479,1679,1199
407,905,498
40,986,946
-692,1207,1899
-224,2675,2900
-98,1701,1799
-3669,2230,5900
-1197,3402,4599
187,1066,878
-3127,1672,4799
143,958,814
-43,1456,1500
-42,1157,1199
-534,3165,3700
-362,1337,1700
-686,5513,6200
-115,2284,2399
95,843,748
-100,1499,1599
0,2899,2900
4746,21446,16700
-146,1653,1799
-31,1168,1199
-542,2657,3199
-76,1123,1199
239,1639,1400
-345,1254,1599
-208,771,979
-297,2002,2300
101,5501,5400
-2164,935,3099
-73,776,850
-206,1493,1700
-3065,18834,21900
-443,1256,1700
75,1175,1099
220,1061,841
394,2194,1799
-383,5716,6100
-164,713,878
-1663,4936,6600
328,1928,1599
-1413,1186,2599
-76,558,634
-274,1425,1700
-69,853,922
-132,867,1000
544,1457,913
-452,947,1400
1881,2762,880
-246,1753,2000
-409,1890,2300
416,1362,946
135,2135,2000
9313,10513,1199
-1342,2957,4300
-473,1126,1599
32,1232,1199
-189,1210,1400
1036,1620,584
-3,511,515
-66,414,481
-141,578,720
82,756,674
262,1462,1199
48,1148,1099
38,1438,1400
-1050,949,2000
220,1027,806
151,1251,1099
3612,5312,1700
-105,994,1099
20,732,712
-87,1012,1099
-125,874,1000
-88,870,959
138,1138,1000
-75,1924,2000
-1837,1062,2900
-18,663,681
14,2014,2000
-285,1114,1400
-200,999,1199
-349,7350,7699
57,786,729
96,1396,1300
38,818,779
2099,12799,10700
111,1211,1099
-5096,1503,6600
-5567,1232,6799
-5987,2512,8500
-217,1482,1700
558,1079,521
-3335,564,3899
90,659,569
1405,2376,970
-247,1152,1400
-1104,1395,2499
-113,1786,1899
-41,2358,2399
42,1242,1199
-1200,1999,3199
-1421,578,2000
234,4134,3899
0,513,514
-124,719,844
-61,626,687
147,1247,1099
-21,1178,1199
337,1242,905
-230,969,1199
-3316,5783,9099
-29,532,562
-119,1280,1400
-148,951,1099
-92,1307,1400
344,876,532
-5349,1050,6399
-1795,1304,3099
154,694,540
-3,1396,1400
187,1487,1300
-75,1724,1799
285,1215,930
156,2256,2099
54,702,647
142,2642,2499
2,3402,3399
103,2803,2700
1979,7279,5300
-111,862,974
385,1385,1000
3254,4107,852
257,3657,3399
-48,951,1000
3299,11299,8000
720,5920,5199
191,1291,1099
-2,1197,1199
271,1871,1599
322,3322,3000
2434,5034,2599
-34,775,810
368,1768,1400
177,1677,1500
66,1266,1199
236,1536,1300
-112,580,692
4924,16224,11300
-5021,3278,8299
-141,2758,2900
-2830,4369,7200
56,1456,1400
-211,788,1000
-243,856,1099
394,9194,8800
-277,1522,1799
-72,1427,1500
169,1088,919
-153,730,884
323,1523,1199
-1152,1247,2399
-14,466,481
-373,926,1300
264,1238,974
169,3869,3700
1024,2024,1000
-31,1168,1199
-53,2046,2099
-282,2617,2900
870,1804,934
672,1772,1099
-22,647,670
316,1516,1199
-121,630,751
381,2781,2399
-50,1049,1099
-160,1639,1799
70,747,676
84,776,692
-2485,4114,6600
719,1389,670
2380,3319,939
-125,974,1099
-122,771,894
92,528,435
3125,4125,1000
-293,2506,2800
-225,4374,4599
61,775,714
-252,847,1099
42,574,532
643,1843,1199
83,1483,1400
-219,751,970
123,1623,1500
32,1132,1099
0,827,826
3469,4569,1099
-80,687,768
54,2654,2599
120,910,789
-157,731,889
48,792,743
36,543,507
1838,6538,4700
27,765,737
141,1841,1700
-106,1893,2000
-222,777,1000
-187,912,1099
-586,1913,2499
39,406,367
-484,1815,2300
-6513,1086,7600
-1720,4079,5800
-1832,7167,8999
170,2570,2399
5451,7951,2499
-442,3357,3799
1139,4939,3799
-1419,3280,4700
-523,2476,3000
-382,917,1300
-643,1456,2099
40,908,868
960,1865,905
349,858,509
17,760,743
-175,697,872
20316,22016,1700
-4197,6702,10900
261,1361,1099
195,1495,1300
1050,7650,6600
-2284,1615,3899
210,1410,1199
-567,832,1400
-72,826,898
19,757,737
21,1021,1000
-696,603,1300
-80,1119,1199
235,1635,1400
-2680,10419,13100
460,1760,1300
-57,728,785
75,549,474
-523,976,1500
-190,1009,1199
82,1482,1400
64,1025,960
192,1292,1099
128,1428,1300
25,1725,1700
-15,1384,1400
259,1149,890
1766,2309,543
102,676,574
91,1591,1500
4905,22905,18000
353,2153,1799
83,1023,940
-197,588,785
4756,6756,2000
-391,2108,2499
-408,1391,1799
265,2165,1899
604,2904,2300
220,971,751
-245,5954,6200
-5145,13354,18499
-242,1157,1400
-51,858,909
-67,871,939
-7887,9712,17599
-137,1062,1199
542,1306,763
-113,869,982
7,604,596
2605,7505,4900
111,1611,1500
-75,650,726
-1554,1945,3500
-132,867,1000
-83,762,846
16,838,822
4,1904,1899
15,1115,1099
-927,4472,5400
-36,740,776
78,846,768
2597,18797,16199
-3679,6520,10200
113,1413,1300
-22,647,670
44,1944,1899
-646,2253,2900
-76,4123,4199
-73,1126,1199
-100,783,884
-2,735,737
1155,1658,502
19,649,630
-562,1637,2199
126,1055,929
-197,1602,1799
-58,864,922
-41,2358,2399
-124,875,1000
-191,1008,1199
-736,2563,3300
57,789,731
473,2573,2099
-67,2532,2599
-80,917,997
26,427,400
2378,2825,447
-683,3116,3799
134,649,515
-199,900,1099
-11565,4134,15700
-268,3931,4199
-120,879,1000
66,735,669
-195,1004,1199
34,910,875
10,1110,1099
-186,913,1099
142,788,646
682,2982,2300
178,2778,2599
-4,654,658
54,1154,1099
-54,1045,1099
-55,1744,1799
-66,412,479
-561,1638,2199
-595,2304,2900
-2002,2797,4799
-2081,2418,4499
16,950,934
2192,2968,776
-1119,4480,5599
-649,2150,2800
2535,10235,7699
19,749,730
-157,643,800
-2010,10289,12300
-122,877,1000
-63,936,1000
168,970,801
-7,948,955
945,19945,18999
-758,7241,8000
69,1020,950
-616,3883,4499
-8,1291,1300
-17,936,954
-246,1453,1700
143,2443,2300
300,4000,3700
-2422,6877,9300
-146,1553,1700
443,2643,2199
-77,1622,1700
105,650,545
-13,1286,1300
37,915,878
-2249,1550,3799
-61,1238,1300
-154,624,778
20,761,740
40,839,798
-124,1375,1500
-145,1754,1899
5080,8180,3099
37,1637,1599
30,1130,1099
161,1008,846
-328,971,1300
-415,1084,1500
-390,2709,3099
-44,826,871
50,1750,1700
-3342,1157,4499
-4,1095,1099
4258,21458,17199
171,1571,1400
-141,634,776
-39,1460,1500
-631,568,1199
18,3518,3500
-274,1125,1400
87,923,835
189,1008,819
75,974,898
469,2769,2300
-215,1184,1400
1619,2579,960
-1040,959,2000
838,2438,1599
-678,3221,3899
-97,1602,1700
157,965,807
37,1006,968
183,1283,1099
252,937,684
-1253,3846,5099
-138,1061,1199
631,3831,3199
-707,2192,2900
69,3669,3600
2148,3348,1199
77,883,806
-312,1187,1500
582,1232,650
-398,2201,2599
1097,1697,599
101,1101,1000
-175,1924,2099
-69,4430,4499
-575,2524,3099
-191,3908,4100
42,1142,1099
-1175,6424,7600
50,656,605
152,2652,2499
88,1288,1199
-98,1401,1500
-6,1493,1500
745,1435,689
-1232,3767,4999
-2954,845,3799
-17,1682,1700
68,3268,3199
-83,908,991
164,1964,1799
61,1261,1199
-158,1041,1199
-262,3337,3600
-98,1201,1300
106,1506,1400
-23,1276,1300
-1921,1878,3799
-624,2175,2800
-1354,2745,4100
141,1116,975
294,2194,1899
-926,2873,3799
-392,1807,2199
-726,2173,2900
-1544,5255,6799
-124,2675,2800
143,871,728
-588,4911,5499
97,1197,1099
-448,2251,2700
-301,1098,1400
-4565,534,5099
-25,833,859
-16537,2062,18599
-37,689,726
3334,4274,940
-427,1372,1799
-220,10879,11100
-427,1972,2399
-4,838,843
151,862,710
-221,638,860
-89,890,979
-161,938,1099
-19,826,846
150,2150,2000
-20,2179,2199
-195,1704,1899
-66,1133,1199
-36,1363,1400
-62,853,916
-3569,8530,12099
-176,1123,1300
-22,977,1000
-168,614,783
-34,315,350
-499,2900,3399
444,3544,3099
-67,732,800
-894,1205,2099
505,5105,4599
7,1107,1099
117,2017,1899
-241,858,1099
-44,5455,5499
52,1552,1500
-406,693,1099
-117,746,863
-64,709,774
211,2911,2700
-861,638,1500
-38,643,681
-72,1027,1099
-116,1283,1400
-92,903,996
-112,987,1099
-121,878,1000
-43,2856,2900
-4191,2008,6200
303,1098,795
-5205,2794,8000
24,1524,1500
192,1892,1700
4,990,985
41,2741,2700
-866,5333,6200
-75,776,852
-639,860,1500
58,1258,1199
1640,3140,1500
-819,1580,2399
49,1149,1099
464,1147,683
23,663,639
-429,1470,1899
68,1168,1099
17,1417,1400
355,1455,1099
124,883,758
2791,20391,17599
783,2083,1300
-1455,6744,8200
6,595,588
-67,505,572
101,874,773
114,938,824
228,607,378
-9,518,527
-89,1610,1700
-20,1379,1400
-553,4646,5199
-154,1845,2000
5287,21487,16199
1434,2157,723
239,1189,949
784,3384,2599
146,711,565
1271,4071,2800
376,3976,3600
-210,5189,5400
-9,1390,1400
-206,597,803
1401,2104,702
-11410,1789,13199
2682,8182,5499
721,3021,2300
116,897,781
-231,1068,1300
-97,846,943
-93,833,927
3890,5990,2099
3393,3916,522
-83,638,721
-313,1486,1799
-1156,4943,6100
225,579,353
-36,963,1000
201,2101,1899
-470,1229,1700
2,2002,2000
103,583,479
-112,1687,1799
-207,892,1099
2810,9210,6399
150,816,665
626,1326,700
160,1760,1599
282,848,566
-437,862,1300
169,2169,2000
141,927,785
-70,873,943
186,1386,1199
255,2055,1799
-99,408,508
-141,1058,1199
63,1263,1199
153,1953,1799
2347,4847,2499
-130,1869,2000
1287,1989,701
143,1066,922
37,328,291
-2318,5581,7899
375,7475,7100
256,7156,6899
-3564,6035,9600
2095,7395,5300
193,1293,1099
756,7556,6799
175,1275,1099
55,2655,2599
54,937,883
57,782,724
1965,6365,4400
1691,2664,973
-23,874,898
-132,1067,1199
-150,1749,1899
-3,996,1000
-186,1213,1400
-40,2559,2599
-2403,2396,4799
372,2572,2199
-1899,14800,16700
-8149,1950,10099
27,1727,1700
-1948,13251,15200
-12,647,660
110,625,515
367,1667,1300
-6430,1169,7600
-1528,3971,5499
-1247,1652,2900
72,994,921
229,898,669
-116,1083,1199
54,901,846
34,578,544
800,1339,539
-1104,1595,2700
1073,1767,693
89,1289,1199
-4214,1385,5599
146,1346,1199
-174,520,694
-5246,11853,17100
-91,1108,1199
-24,803,828
312,1312,1000
-437,3062,3500
-248,1051,1300
754,4454,3700
984,7384,6399
318,1176,857
-514,3385,3899
-913,2286,3199
280,2680,2399
-2564,13235,15799
-309,1090,1400
1674,12174,10500
-113,1786,1899
-205,1894,2099
2144,12444,10299
215,1915,1700
-325,1174,1500
314,1514,1199
21,644,623
223,2123,1899
-150,949,1099
-38,617,656
-1351,3948,5300
-959,7340,8299
-628,771,1400
-113,1786,1899
-251,9648,9900
32,785,753
-59,3340,3399
-65,760,826
-269,726,996
-9331,2568,11900
1158,1764,605
-255,1144,1400
119,1619,1500
-117,1282,1400
1639,4439,2800
-360,2739,3099
-65,606,672
-406,1193,1599
-435,3664,4100
-1303,2796,4100
-28,1871,1899
-287,1212,1500
189,2089,1899
87,842,755
-422,2377,2800
-2799,4600,7400
90,2290,2199
-5640,10459,16100
157,1657,1500
13,1113,1099
-90,1909,2000
-145,854,1000
79,855,776
308,2208,1899
916,5116,4199
-616,2583,3199
-1056,843,1899
7139,8339,1199
-267,1132,1400
-5,922,927
-2289,2110,4400
2893,5093,2199
189,721,532
47,769,721
53,864,810
15,879,863
-51,693,744
-536,1063,1599
59,1033,974
465,13865,13399
-376,1723,2099
110,1210,1099
-2,1997,2000
81,1681,1599
-209,1290,1500
-549,2050,2599
-255,1544,1799
-73,1426,1500
-4,807,812
493,1420,927
-173,4126,4300
283,1383,1099
706,7706,7000
-28,545,574
832,8432,7600
137,1002,865
136,1008,871
-475,2824,3300
32,598,566
272,1272,1000
-102,1497,1599
-5999,1900,7899
140,1240,1099
-68,815,884
-41,3558,3600
411,2411,2000
-789,1710,2499
-210,2689,2900
90,790,700
-85,1014,1099
-22,515,538
-14,702,717
-156,1243,1400
51,1451,1400
-183,1516,1700
-194,805,1000
482,2682,2199
220,1019,798
646,3446,2800
-5599,1700,7300
1135,2235,1099
236,760,523
112,759,647
-47,848,896
-187,1112,1300
-458,1941,2399
-56,1243,1300
-2190,2009,4199
-216,1883,2099
-442,757,1199
-398,701,1099
23,601,578
-685,5014,5700
2,604,601
-87,567,655
-3165,3234,6399
-139,776,916
118,1518,1400
2804,4704,1899
-438,2861,3300
173,1006,832
-70,673,743
-20,2579,2599
-65,2134,2199
180,1680,1500
99,1020,921
-205,1594,1799
-11,901,913
-704,4195,4900
-58,1941,2000
15,1215,1199
-7,1392,1400
